date,total_system_load,hhs_care,cbp_custody,net_daily_intake,transferred_out_cbp,discharged_hhs,observed_days
2024-02-11,8566.714285714286,8080.714285714285,486.0,278.0,1582.0,1304.0,5
2024-02-18,8814.357142857143,8382.785714285714,431.57142857142856,397.0,1333.0,936.0,4
2024-02-25,8924.57142857143,8494.714285714286,429.85714285714283,357.0,1620.0,1263.0,5
2024-03-03,9066.714285714286,8627.0,439.7142857142857,162.0,1607.0,1445.0,5
2024-03-10,9226.285714285714,8794.57142857143,431.7142857142857,263.0,1616.0,1353.0,5
2024-03-17,8952.142857142857,8650.714285714286,301.42857142857144,-99.0,1258.0,1357.0,5
2024-03-24,8449.42857142857,8210.0,239.42857142857142,-335.0,980.0,1315.0,5
2024-03-31,7948.285714285715,7678.428571428572,269.85714285714283,-291.0,1008.0,1299.0,5
2024-04-07,7454.285714285715,7222.142857142857,232.14285714285714,-50.0,921.0,971.0,5
2024-04-14,7107.285714285715,6873.428571428572,233.85714285714286,-142.0,989.0,1131.0,5
2024-04-21,7072.428571428572,6719.571428571428,352.85714285714283,175.0,1256.0,1081.0,5
2024-04-28,7511.714285714285,7129.714285714285,382.0,594.0,1563.0,969.0,5
2024-05-05,7854.857142857143,7480.0,374.85714285714283,227.0,1265.0,1038.0,5
2024-05-12,7840.428571428572,7523.714285714285,316.7142857142857,134.0,1193.0,1059.0,5
2024-05-19,7825.857142857143,7496.571428571428,329.2857142857143,78.0,1218.0,1140.0,5
2024-05-26,7741.357142857143,7432.642857142857,308.7142857142857,207.0,979.0,772.0,4
2024-06-02,7874.0,7498.857142857143,375.14285714285717,355.0,1310.0,955.0,5
2024-06-09,7915.857142857143,7605.142857142857,310.7142857142857,-3.0,1172.0,1175.0,5
2024-06-16,7764.285714285715,7454.571428571428,309.7142857142857,57.0,1190.0,1133.0,5
2024-06-23,7617.571428571428,7349.571428571428,268.0,50.0,1215.0,1165.0,5
2024-06-30,7362.714285714285,7141.428571428572,221.28571428571428,-149.0,983.0,1132.0,5
2024-07-07,6956.928571428572,6747.5,209.42857142857142,-80.0,771.0,851.0,4
2024-07-14,6721.714285714285,6544.714285714285,177.0,-63.0,801.0,864.0,5
2024-07-21,6389.714285714285,6176.714285714285,213.0,-130.0,663.0,793.0,4
2024-07-28,6140.285714285715,5898.285714285715,242.0,-128.0,854.0,982.0,5
2024-08-04,6176.285714285715,5947.142857142857,229.14285714285714,197.0,945.0,748.0,5
2024-08-11,6234.142857142857,5991.714285714285,242.42857142857142,8.0,898.0,890.0,5
2024-08-18,6136.714285714285,5900.428571428572,236.28571428571428,79.0,926.0,847.0,5
2024-08-25,6313.742857142856,6031.657142857142,282.0857142857143,182.0,779.0,597.0,4
2024-09-01,6489.471428571429,6203.4857142857145,285.9857142857143,188.0,588.0,400.0,3
2024-09-08,6584.714285714285,6337.0,247.71428571428572,236.0,933.0,697.0,5
2024-09-15,6577.571428571428,6337.0,240.57142857142858,-26.0,1134.0,1160.0,6
2024-09-22,6400.714285714285,6174.142857142857,226.57142857142858,-12.0,846.0,858.0,5
2024-09-29,6230.857142857143,6015.0,215.85714285714286,51.0,890.0,839.0,5
2024-10-06,6264.142857142857,6049.285714285715,214.85714285714286,168.0,809.0,641.0,4
